,id,gold_label,sentence1,sentence2,sentence22
33,34,neutral,"On stage, the innards of a piano are shown next to a man at a desk who is working on electronics, while a long-haired man is looking at a screen which shows ""53:11"".",Then men are performing a play.,The piano needs tuning before the show.
34,35,neutral,"Two brown and white dogs, one jumping over a log while the one behind runs through the grass.",They are playing with each other.,The white dog is more adventurous than the brown.
35,36,neutral,The lady wearing a red coat is giving a speech.,Lady give a speech in the House of Representatives.,Her voice echoes in the chamber.
36,37,neutral,A nurse examines equipment in the operating room.,A nurse is in training.,The nurse is sterilizing scalpels.
37,38,neutral,An old man and lady in a white uniform is standing next to a man in black playing an instrument.,An old man and his nurse are listening to the musician play.,The woman doesn't like the music being played.
38,39,neutral,Golfer celebrates after a shot he has made.,A golfer is competing in an important tournament.,The golfer runs around the cart in glee.
39,40,neutral,A dog gnawing on a bone.,A dog found a bone,The dog prefers eating dog food.
40,41,neutral,A man carrying a bag from a stick is walking down the sidewalk.,A man is walking to the train station.,The man is a hobo.
41,42,neutral,Young male in blue shirt and tan pants rollerblading.,The young man is at the skating rink.,His pants split when he falls down.
42,43,neutral,A woman swinging a tennis racket on an outdoor court.,A woman is enjoying a game of tennis with her best friend.,He is losing to her quite badly.
43,44,neutral,"A firefighter, in full uniform, looks off into the distance.",The firefighter is going to put out a fire.,The firefighter is surveying water damage to the house.
44,45,neutral,"An entertainer in a black shirt with a red tie and red suspenders, in Toronto, is playing with fire.",A fire eater is performing in front of a crowd in Toronto.,The fire swallower has a tattoo.
45,46,neutral,A woman in a pink shirt is painting the last two stars on a painting of the American flag.,The woman is using different colors,She is covered in paint.
46,47,contradiction,A barefooted adolescent boy in a yellow shirt reaching the top of a small skateboarding ramp.,the boy is flying a helicopter,The boy's shoe tips shine in the sun.
47,48,contradiction,A man waterskies with a life jacket.,Hitler rides a jetski in this Kawasaki advertisement.,The man is in a wetsuit to minimize drag.
48,49,contradiction,A group of children enjoy their time on the beach.,A group of adults are swimming at the beach.,The gang is having a picnic in the park.
49,50,contradiction,"A small baby, possibly a newborn is being bathed by a person in blue scrubs wearing protective gloves.",The small baby is in it's crib sound asleep.,The baby is sitting up in a chair.
50,51,contradiction,An asian woman sitting outside an outdoor market stall.,A woman sitting in an indoor market.,The woman is very busy.
51,52,contradiction,An older gentleman enjoys a scenic stroll through the countryside.,A pirate boards the spaceship.,The crank prefers to stay in ar conditioned environments.
52,53,contradiction,A middle-aged man is sitting indian style outside holding a folded paper in his hands.,A middle aged man is sitting on a stool in a bar.,The man is eating breakfast.
53,54,contradiction,"Several children are standing with plates full of food under a shelter, watching a man in a purple shirt serving good.",The children are outside playing soccer.,The children are too full to want food.
54,55,contradiction,"This mother and her daughter and granddaughter are having car trouble, and the poor little girl looks hot out in the heat.",The family is driving safe and sound while the little girl is asleep.,The youngest is walking away from the car.
55,56,contradiction,A hispanic fruit market with many different fruits and vegetables in view on a city street with a man passing the store dressed in dark pants and a hoodie.,A fish market is on the docks,The market has limited stock.
56,57,contradiction,Three children dressed in winter clothes are walking through the woods while pushing cargo along.,Three childre are dressed in summer clothes.,The children are trekking across a mountain.
57,58,contradiction,Five people are sitting on horses at a rodeo.,Bandits are sitting on horses as they prepare for a robbery.,The horses are jockey-less.
58,59,contradiction,"Nine women in white robes with hoods walk on plush, green grass.",The woman is alone and asleep in her bedroom.,The women blend into the grass when they lie down.
59,60,contradiction,"A woman holds her child out of a red window, next to a Color TV sign.",The TV holds a woman who holds a child.,The woman is juggling apples.
60,61,contradiction,A construction worker is standing on a crane placing a large arm on top of a stature in progress.,Nobody is standing,He is looking at the base of the statue.
61,62,contradiction,"Two Asian children, a boy and a girl, the girl looking squarely at the camera and the boy making a face.",the children are sleeping in their rooms,The kids are reading books at the library.
62,63,contradiction,A man is jumping unto his filthy bed.,The man is on the moon.,The man regularly deep cleans his house.
63,64,contradiction,A gentlemen dressed in a purple shirt with a red apron selling items to eat at a sport event held during the day in the summer time.,There is a person selling food inside a fancy restaurant.,The vendors provide free service.
64,65,contradiction,"Multiple women are wearing middle eastern outfits of gold, blue, yellow and red and performing a dance.",The woman is alone and asleep in her canoe on the moon.,The dancers are dressed in monochrome.
65,66,contradiction,a couple is walking down the sidewalk with their dog.,A couple is walking their cat to the vet.,A couple is watching a drive-in movie.
66,67,contradiction,A crowd watches a group of people dressed in yellow shirts perform.,Spectators watching a group of dolphins perform.,The crowd has their eyes all closed.
67,68,contradiction,A woman in black clothing runs down the street barefoot next to two people on bicycles and a female runner.,The woman is walking down the street with high heels.,The woman stealthily sneaks up on the runner.
68,69,contradiction,A man in a Santa Claus costume is sitting on a wooden chair holding a microphone and a stringed instrument.,The man is swimming at the beach.,Santa is delivering presents.
